169760sd,,,,,,,,,,,,,,,,,98bf3ef,,,,,,,,,,,,
,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed,,truck difference,trailer difference,,,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
1,5|67,32m,878.4,0,0,0,0,0,0.605796051025391,0.580410957336426,,5,,0.254792046546936,0.23832950592041,,1,5|67,32m,626.6,0,0,0,0,0,0.351004004478455,0.342081451416016,,5
2,40|42,16m,198.4,0,0,0,0,0,0.529066514968872,0.208633422851562,,5,,0.058951139450073,-0.006066489219666,,2,40|42,16m,211.6,0,0,0,0,0,0.470115375518799,0.214699912071228,,5
3,40|10,16m,372.2,0,0,0,0,0,0.427607250213623,0.351171326637268,,5,,0.067524433135986,0.030595874786377,,3,10|64,32m,424,0,0,0,0,0,0.360082817077637,0.320575451850891,,5
4,10|64,32m,621,0,0,0,0,0,0.441217088699341,0.418404388427734,,5,,0.074246168136597,0.096776676177978,,4,40|10,16m,310.6,0,0,0,0,0,0.366970920562744,0.321627712249756,,5
5,34|112,16m,315,0,0,0,0,0,0.806097888946533,0.673075294494629,,5,,0.245681381225586,0.133024597167969,,5,34|112,16m,234.6,0,0,0,0,0,0.560416507720947,0.54005069732666,,5
6,11|10,16m,233,0,0,0,0,0,0.631390619277954,0.268697166442871,,5,,0.207757186889648,0.06617169380188,,6,11|10,16m,234,0,0,0,0,0,0.423633432388306,0.202525472640991,,5
7,11|3,16m,310.6,0,0,0,0,0,0.311141490936279,0.27661542892456,,5,,-0.064461517333985,0.073575258255005,,7,66|67,32m,586.8,0,0,0,0,0,0.375603008270264,0.203040170669556,,5
8,66|67,32m,769,0,0,0,0,0,0.696417856216431,0.527872848510742,,5,,0.425521850585938,0.278057193756103,,8,11|3,16m,261.6,0,0,0,0,0,0.270896005630493,0.249815654754639,,5
9,5|41,16m,354.4,0,0,0,0,0,0.418390417098999,0.556198596954346,,5,,0.066109108924866,0.035742425918579,,9,5|41,16m,220.6,0,0,0,0,2,0.352281308174133,0.520456171035767,,3
10,66|46,32m,618,0,0,0,0,0,0.53598165512085,0.399145364761352,,5,,0.218612813949585,0.103118276596069,,10,66|46,32m,484,0,0,0,0,0,0.317368841171265,0.296027088165283,,5
11,97|95,16m,384.2,0,0,0,0,0,0.489048624038696,0.483103227615356,,5,,0.131650352478027,0.142511296272277,,11,97|95,16m,307.2,0,0,0,0,0,0.357398271560669,0.340591931343079,,5
12,119|37,50m,460.4,0,0,0,0,0,0.587898302078247,0.272794342041016,,5,,0.134575510025024,0.129132151603699,,12,119|37,50m,392.6,0,0,0,0,0,0.453322792053223,0.143662190437317,,5
14,21|48,32m,960,0,0,0,1,0,0.603171014785767,0.375900077819824,,4,,0.224241065979004,0.074796319007873,,14,119|103,50m,404.4,0,0,0,0,4,0.378929948806763,0.301103758811951,,1
15,22|105,50m,440,0,0,0,1,0,0.479644060134888,0.486669969558716,,4,,-0.111978530883789,0.202921295166016,,15,21|64,32m,614.8,0,0,0,0,0,0.591622591018677,0.2837486743927,,5
16,21|64,32m,740.6,0,0,0,1,0,0.669106101989746,0.36623785495758,,4,,0.256385612487793,-0.079542994499207,,16,22|105,50m,402.6,0,0,0,0,0,0.412720489501953,0.445780849456787,,5
17,22|26,50m,724.4,0,0,0,0,0,0.680103397369385,0.441766977310181,,5,,0.204956531524658,0.206797671318055,,17,4|64,32m,492.8,0,0,0,0,0,0.475146865844727,0.234969305992126,,5
18,4|64,32m,715,0,0,0,0,0,0.652715253829956,0.377344679832458,,5,,0.093149375915527,0.059608888626099,,18,22|26,50m,516.4,0,0,0,0,0,0.559565877914429,0.31773579120636,,5
19,22|76,50m,1014.4,0,0,0,0,0,0.763350963592529,0.450168752670288,,5,,0.121164655685424,0.135328674316406,,19,10|9,32m,563.2,0,0,0,0,0,0.642186307907105,0.314840078353882,,5
20,10|9,32m,829.2,0,0,0,0,0,0.801373672485351,0.417447471618652,,5,,0.167581367492676,0.111012625694275,,20,22|76,50m,701,0,0,0,0,0,0.633792304992676,0.306434845924377,,5
22,16|111,50m,386.4,0,0,0,2,0,0.409217691421509,0.406527137756348,,3,,0.081215381622315,0.183873248100281,,22,35|9,32m,903.2,0,0,0,0,0,0.328002309799194,0.222653889656067,,5
23,96|26,50m,439.4,0,0,0,0,0,0.45171594619751,0.35987606048584,,5,,0.134071373939514,0.009459280967713,,23,16|111,50m,360.8,0,0,0,0,0,0.317644572257996,0.350416779518127,,5
24,35|9,32m,1319.2,0,0,0,0,0,0.398700952529907,0.278398442268372,,5,,0.006116461753845,0.000702905654908,,24,96|26,50m,323,0,0,0,0,0,0.392584490776062,0.277695536613464,,5
25,96|76,50m,727.6,0,0,0,0,0,0.651488351821899,0.39632682800293,,5,,0.445531988143921,0.255240607261658,,25,35|48,32m,681.6,0,0,0,4,0,0.205956363677978,0.141086220741272,,1
26,58|111,50m,331,0,0,0,0,0,0.610989332199097,0.400386953353882,,5,,0.033525562286377,0.085517835617066,,26,96|76,50m,520.8,0,0,0,0,0,0.57746376991272,0.314869117736816,,5
27,31|120,16m,378.8,0,0,0,4,0,0.758347797393799,0.35326874256134,,1,,0.331273555755615,-0.028588700294495,,27,21|9,32m,366.6,0,0,0,0,0,0.427074241638184,0.381857442855835,,5
28,35|48,32m,1438.8,0,0,0,2,0,0.378885626792908,0.281444120407104,,3,,0.033551502227784,0.122703266143798,,28,58|111,50m,265,0,0,0,0,0,0.345334124565124,0.158740854263306,,5
29,31|112,16m,510.4,0,0,0,0,1,1.05309991836548,0.466942167282105,,4,,0.60524640083313,0.375768911838531,,29,29|36,32m,277,0,0,0,0,0,0.447853517532349,0.091173255443573,,5
32,29|36,32m,308.2,0,0,0,0,0,0.645457553863525,0.177433049678803,,5,,0.328978157043457,-0.076942312717438,,32,29|55,32m,383.4,0,0,0,0,0,0.316479396820068,0.25437536239624,,5
41,15|94,50m,752.4,0,0,0,0,0,0.481245517730713,0.562608146667481,,5,,0.066833591461182,0.081541967391968,,41,15|94,50m,586,0,0,0,0,0,0.414411926269531,0.481066179275513,,5
42,15|105,50m,813.2,0,0,0,0,0,0.687314987182617,0.578276062011719,,5,,0.086621522903442,0.121975660324097,,42,15|105,50m,595.2,0,0,0,0,0,0.600693464279175,0.456300401687622,,5
43,15|26,50m,996.6,0,0,0,0,0,0.809517192840576,0.526591968536377,,5,,0.131224775314331,0.15541205406189,,43,15|26,50m,712,0,0,0,0,0,0.678292417526245,0.371179914474487,,5
44,55|94,50m,930.6,0,0,0,0,0,0.625629901885986,0.430129957199097,,5,,0.072552013397217,0.098096632957459,,44,55|94,50m,662.4,0,0,0,0,0,0.553077888488769,0.332033324241638,,5
45,55|105,50m,976.2,0,0,0,0,0,0.833542442321777,0.48737359046936,,5,,0.080620241165161,0.082609510421753,,45,55|105,50m,691.2,0,0,0,0,0,0.752922201156616,0.404764080047607,,5
46,96|94,50m,1052.8,0,0,0,0,0,0.679237842559814,0.418325614929199,,5,,0.079617881774902,0.086423254013061,,46,96|94,50m,765.8,0,0,0,0,0,0.599619960784912,0.331902360916138,,5
47,58|74,50m,609.4,0,0,0,0,0,0.46582145690918,0.519928741455078,,5,,0.119179296493531,0.068443059921264,,47,58|74,50m,484.8,0,0,0,0,0,0.346642160415649,0.451485681533814,,5
48,55|76,50m,599.2,0,0,0,0,0,0.544988203048706,0.393236756324768,,5,,0.058617639541626,0.078249502182007,,48,55|76,50m,443,0,0,0,0,0,0.48637056350708,0.314987254142761,,5
49,31|43,16m,310.4,0,0,0,0,0,0.471360635757446,0.463495969772339,,5,,0.164550185203552,-0.005923366546631,,49,31|43,16m,232.6,0,0,0,0,0,0.306810450553894,0.46941933631897,,5
50,61|95,16m,313.8,0,0,0,0,0,0.730648231506348,0.375294733047485,,5,,0.254769134521485,0.177326571941375,,50,61|95,16m,282.2,0,0,0,0,0,0.475879096984863,0.19796816110611,,5
51,61|42,16m,268.8,0,0,0,2,0,0.521748638153076,0.47883734703064,,3,,0.130017232894897,0.036139869689942,,51,61|42,16m,266,0,0,0,0,0,0.391731405258179,0.442697477340698,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,avg,0.15,0.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,median ,0.130017232894897,0.086423254013061,,,,,,,,,,,,,,
,,,,,,,,,,,,,min,-0.111978530883789,-0.079542994499207,,,,,,,,,,,,,,
,,,,,,,,,,,,,max,0.60524640083313,0.375768911838531,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.070038223266602,0.04787437915802,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.130017232894897,0.086423254013061,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.221426939964294,0.138919985294342,,,,,,,,,,,,,,
