PPO169760e0 TRAINING,,,,,,,,,,,,,,SAC 2f20aba7,,,,,,,,
,route,roundabout,timesteps,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed,,,Tractor distance PPO TO SAC,TRAiler unit distance PPO to SAC,,,route,roundabout,timesteps,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
11,97|95,16m,384.2,0,0,0.489048624038696,0.483103227615356,5,,,-1.27717909812927,-1.11197009086609,,13,97|95,16m,360.6,0,0,1.76622772216797,1.59507331848145,5
46,96|94,50m,1052.8,0,0,0.679237842559814,0.418325614929199,5,,,-0.425508117675786,-0.509750175476074,,46,96|94,50m,996.6,0,0,1.1047459602356,0.928075790405273,5
25,96|76,50m,727.6,0,0,0.651488351821899,0.39632682800293,5,,,-0.643719244003301,-0.6143572807312,,29,96|76,50m,695,0,0,1.2952075958252,1.01068410873413,5
23,96|26,50m,439.4,0,0,0.45171594619751,0.35987606048584,5,,,-0.59066905975342,-0.69097633361816,,27,96|26,50m,412.6,0,0,1.04238500595093,1.050852394104,5
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
8,66|67,32m,769,0,0,0.696417856216431,0.527872848510742,5,,,-2.00536017417908,-1.89678421020508,,2,66|67,32m,764.6,0,0,2.70177803039551,2.42465705871582,5
10,66|46,32m,618,0,0,0.53598165512085,0.399145364761352,5,,,-1.53197832107544,-1.55044054985047,,5,66|46,32m,585,0,0,2.06795997619629,1.94958591461182,5
50,61|95,16m,313.8,0,0,0.730648231506348,0.375294733047485,5,,,-1.50651302337646,-1.3441192150116,,50,61|95,16m,316,0,0,2.23716125488281,1.71941394805908,5
51,61|42,16m,268.8,2,0,0.521748638153076,0.47883734703064,3,,,-1.2079716682434,-1.34888615608215,,51,61|42,16m,302.8,0,0,1.72972030639648,1.82772350311279,5
47,58|74,50m,609.4,0,0,0.46582145690918,0.519928741455078,5,,,-1.43963832855225,-1.46925029754638,,47,58|74,50m,588.2,0,0,1.90545978546143,1.98917903900146,5
26,58|111,50m,331,0,0,0.610989332199097,0.400386953353882,5,,,-1.57356839179992,-1.42209458351135,,30,58|111,50m,324,0,0,2.18455772399902,1.82248153686523,5
44,55|94,50m,930.6,0,0,0.625629901885986,0.430129957199097,5,,,-0.571162223815914,-0.664876985549923,,44,55|94,50m,880.2,0,0,1.1967921257019,1.09500694274902,5
48,55|76,50m,599.2,0,0,0.544988203048706,0.393236756324768,5,,,-0.880286645889284,-0.848233771324162,,48,55|76,50m,573.2,0,0,1.42527484893799,1.24147052764893,5
45,55|105,50m,976.2,0,0,0.833542442321777,0.48737359046936,5,,,-0.210638236999513,-0.230834388732911,,45,55|105,50m,925,0,0,1.04418067932129,0.718207979202271,5
1,5|67,32m,878.4,0,0,0.605796051025391,0.580410957336426,5,,,-2.13631763458252,-2.0879919052124,,0,5|67,32m,841.6,0,0,2.74211368560791,2.66840286254883,5
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2,40|42,16m,198.4,0,0,0.529066514968872,0.208633422851562,5,,,-1.14819540977478,-0.72332353591919,,4,40|42,16m,207,0,0,1.67726192474365,0.931956958770752,5
3,40|10,16m,372.2,0,0,0.427607250213623,0.351171326637268,5,,,-1.31014432907105,-1.22877461910248,,6,40|10,16m,353,0,0,1.73775157928467,1.57994594573975,5
18,4|64,32m,715,0,0,0.652715253829956,0.377344679832458,5,,,-0.483573484420774,-0.682574486732482,,14,4|64,32m,673.4,0,0,1.13628873825073,1.05991916656494,5
24,35|9,32m,1319.2,0,0,0.398700952529907,0.278398442268372,5,,,-0.810997724533083,-0.841192889213558,,20,35|9,32m,1245.2,0,0,1.20969867706299,1.11959133148193,5
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
5,34|112,16m,315,0,0,0.806097888946533,0.673075294494629,5,,,-0.854467868804927,-0.724422168731691,,7,34|112,16m,297.8,0,0,1.66056575775146,1.39749746322632,5
49,31|43,16m,310.4,0,0,0.471360635757446,0.463495969772339,5,,,-0.462765455245972,-0.756321668624881,,49,31|43,16m,221.8,0,4,0.934126091003418,1.21981763839722,1
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
35,29|55,32m,501.4,0,0,1.05309991836548,0.312781929969788,5,,,-0.835511302948,-1.50949094295501,,28,29|55,32m,464.6,0,0,1.88861122131348,1.8222728729248,5
32,29|36,32m,308.2,0,0,0.645457553863525,0.177433049678803,5,,,-1.58639631271362,-1.42526279687882,,26,29|36,32m,313.4,0,0,2.23185386657715,1.60269584655762,5
19,22|76,50m,1014.4,0,0,0.763350963592529,0.450168752670288,5,,,-0.425532913208011,-0.418265867233276,,21,22|76,50m,970.4,0,0,1.18888387680054,0.868434619903564,5
17,22|26,50m,724.4,0,0,0.680103397369385,0.441766977310181,5,,,-0.363502883911135,-0.494314432144165,,19,22|26,50m,688,0,0,1.04360628128052,0.936081409454346,5
15,22|105,50m,440,1,0,0.479644060134888,0.486669969558716,4,,,-0.789145708084102,-0.837892484664914,,18,22|105,50m,495.8,0,0,1.26878976821899,1.32456245422363,5
30,21|9,32m,506.4,0,0,0.548849105834961,0.488371181488037,5,,,-0.910750293731689,-0.976101970672603,,25,21|9,32m,470,0,0,1.45959939956665,1.46447315216064,5
16,21|64,32m,740.6,1,0,0.669106101989746,0.36623785495758,4,,,-0.555015087127684,-0.66172902584076,,12,21|64,32m,858.6,0,0,1.22412118911743,1.02796688079834,5
,,,,,,,,,,,,,,,,,,,,,,
22,16|111,50m,386.4,2,0,0.409217691421509,0.406527137756348,3,,,-1.60284037590027,-1.53081684112549,,24,16|111,50m,439.6,0,0,2.01205806732178,1.93734397888184,5
,,,,,,,,,,,,,,,,,,,,,,
41,15|94,50m,752.4,0,0,0.481245517730713,0.562608146667481,5,,,-0.669538593292237,-0.789021682739259,,41,15|94,50m,709,0,0,1.15078411102295,1.35162982940674,5
43,15|26,50m,996.6,0,0,0.809517192840576,0.526591968536377,5,,,-0.192706489562984,-0.234977865219116,,43,15|26,50m,952.6,0,0,1.00222368240356,0.761569833755493,5
42,15|105,50m,813.2,0,0,0.687314987182617,0.578276062011719,5,,,-0.353420448303223,-0.410699939727783,,42,15|105,50m,758.8,0,0,1.04073543548584,0.988976001739502,5
12,119|37,50m,460.4,0,0,0.587898302078247,0.272794342041016,5,,,-1.16068034172058,-1.03310327529907,,15,119|37,50m,460.6,0,0,1.74857864379883,1.30589761734009,5
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0,117|120,16m,319.6,1,0,0.400638628005981,0.401332092285156,4,,,-0.918696355819699,-0.898798179626464,,3,117|120,16m,320.2,0,0,1.31933498382568,1.30013027191162,5
,,,,,,,,,,,,,,,,,,,,,,
7,11|3,16m,310.6,0,0,0.311141490936279,0.27661542892456,5,,,-0.927323436737061,-0.89727554321289,,10,11|3,16m,291.8,0,0,1.23846492767334,1.17389097213745,5
6,11|10,16m,233,0,0,0.631390619277954,0.268697166442871,5,,,-1.44932837486267,-1.0018367767334,,9,11|10,16m,232.4,0,0,2.08071899414062,1.27053394317627,5
20,10|9,32m,829.2,0,0,0.801373672485351,0.417447471618652,5,,,-0.556121540069579,-0.596955871582028,,17,10|9,32m,787.6,0,0,1.35749521255493,1.01440334320068,5
4,10|64,32m,621,0,0,0.441217088699341,0.418404388427734,5,,,-0.913638257980349,-1.04653511047364,,1,10|64,32m,576.6,0,0,1.35485534667969,1.46493949890137,5
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Avg = ,-0.911528271436691,-0.934479800325173,,,,,,,,,,
,,,,,,,,,,MIN,-2.13631763458252,-2.0879919052124,,,,,,,,,,
,,,,,,,,,,max,-0.192706489562984,-0.230834388732911,,,,,,,,,,
,,,,,,,RATIO OF ROUTES CLOSER TO PPO,,,,0.945945945945946,0.945945945945946,,,,,,,,,,
,,,,,,,RATIO OF ROUTES CLOSER TO PPO,,,,0,0,,,,,,,,,,
