route,timesteps,collision_truck,collision_trailer,timeout,completed
40|10,356,False,False,False,True
117|41,176,False,True,False,False
31|84,146,True,False,False,False
34|84,164,False,True,False,False
61|4,201,False,True,False,False
31|120,148,True,False,False,False
61|95,301,False,False,False,True
34|84,169,False,True,False,False
40|4,156,False,True,False,False
5|84,139,True,False,False,False
5|41,141,True,False,False,False
34|84,165,False,True,False,False
61|4,210,False,True,False,False
5|84,139,True,False,False,False
31|84,145,True,False,False,False
5|120,152,True,False,False,False
117|120,171,False,True,False,False
34|84,172,False,True,False,False
61|95,306,False,False,False,True
5|120,153,True,False,False,False
11|10,107,False,True,False,False
31|120,149,True,False,False,False
5|41,150,True,False,False,False
5|84,141,True,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
61|95,304,False,False,False,True
34|84,166,False,True,False,False
5|41,140,True,False,False,False
5|120,154,True,False,False,False
61|4,211,False,True,False,False
31|120,150,True,False,False,False
5|41,143,True,False,False,False
34|41,155,False,True,False,False
117|120,170,False,True,False,False
31|120,150,True,False,False,False
5|41,139,True,False,False,False
5|120,152,True,False,False,False
40|4,169,False,False,False,True
34|41,156,False,True,False,False
5|41,140,True,False,False,False
31|120,148,True,False,False,False
31|84,145,True,False,False,False
5|120,153,True,False,False,False
11|10,113,False,True,False,False
34|84,168,False,True,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
117|120,166,True,False,False,False
5|84,140,True,False,False,False
40|4,169,False,False,False,True
34|41,156,False,True,False,False
97|95,362,False,False,False,True
34|41,152,True,False,False,False
97|95,362,False,False,False,True
117|41,173,False,True,False,False
5|41,148,True,False,False,False
5|120,155,True,False,False,False
61|95,303,False,False,False,True
34|41,158,False,True,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
61|95,305,False,False,False,True
117|41,175,False,True,False,False
5|41,139,True,False,False,False
117|41,175,False,True,False,False
40|10,356,False,False,False,True
5|120,154,True,False,False,False
97|95,364,False,False,False,True
5|120,151,True,False,False,False
61|4,199,False,True,False,False
117|41,174,False,True,False,False
40|10,355,False,False,False,True
5|120,152,True,False,False,False
61|95,305,False,False,False,True
34|84,166,False,True,False,False
31|84,142,True,False,False,False
34|41,156,False,True,False,False
31|84,142,True,False,False,False
34|84,166,False,True,False,False
11|10,114,False,True,False,False
34|84,167,False,True,False,False
61|95,301,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
31|84,141,True,False,False,False
31|120,149,True,False,False,False
117|120,167,True,False,False,False
34|41,152,True,False,False,False
11|10,113,False,True,False,False
5|84,138,True,False,False,False
117|120,138,True,False,False,False
5|84,138,True,False,False,False
61|95,305,False,False,False,True
31|120,149,True,False,False,False
61|95,304,False,False,False,True
5|120,158,True,False,False,False
5|41,140,True,False,False,False
31|120,151,True,False,False,False
31|84,146,True,False,False,False
5|84,138,True,False,False,False
11|10,116,False,True,False,False
31|120,150,True,False,False,False
5|41,142,True,False,False,False
117|41,176,False,True,False,False
61|4,217,False,True,False,False
5|84,141,True,False,False,False
61|4,211,False,True,False,False
34|41,150,True,False,False,False
61|95,307,False,False,False,True
34|84,168,False,True,False,False
5|41,142,True,False,False,False
5|84,138,True,False,False,False
31|84,145,True,False,False,False
5|84,138,True,False,False,False
40|4,170,False,False,False,True
31|120,151,True,False,False,False
97|95,364,False,False,False,True
34|41,157,False,True,False,False
31|84,146,True,False,False,False
31|120,148,True,False,False,False
61|4,204,False,True,False,False
5|84,139,True,False,False,False
97|95,366,False,False,False,True
117|41,176,False,True,False,False
5|41,141,True,False,False,False
5|120,156,True,False,False,False
61|95,306,False,False,False,True
34|84,170,False,True,False,False
31|84,145,True,False,False,False
34|84,169,False,True,False,False
5|41,141,True,False,False,False
5|84,137,True,False,False,False
117|120,166,True,False,False,False
34|41,151,True,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
31|84,148,True,False,False,False
34|41,154,True,False,False,False
5|41,140,True,False,False,False
117|41,180,False,True,False,False
5|41,137,True,False,False,False
34|41,160,False,True,False,False
31|84,147,True,False,False,False
34|41,160,False,True,False,False
5|41,141,True,False,False,False
34|41,154,True,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
40|4,160,False,True,False,False
5|84,167,True,False,False,False
40|4,159,False,True,False,False
117|41,209,False,True,False,False
11|10,130,False,True,False,False
34|84,201,False,True,False,False
40|4,159,False,True,False,False
117|41,209,False,True,False,False
40|10,449,False,False,False,True
117|41,207,True,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
31|84,160,True,False,False,False
5|120,172,True,False,False,False
5|41,155,True,False,False,False
5|120,172,True,False,False,False
61|95,347,False,False,False,True
31|120,163,True,False,False,False
5|41,155,True,False,False,False
34|84,185,False,True,False,False
11|10,129,False,True,False,False
31|120,162,True,False,False,False
40|4,165,False,True,False,False
34|84,184,False,True,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
117|120,165,True,False,False,False
34|84,179,False,True,False,False
31|84,154,True,False,False,False
31|120,158,True,False,False,False
61|4,304,False,False,False,True
34|41,164,True,False,False,False
117|120,177,True,False,False,False
34|41,158,True,False,False,False
40|10,389,False,False,False,True
34|84,180,False,True,False,False
11|10,117,False,True,False,False
34|41,156,True,False,False,False
5|41,149,True,False,False,False
31|120,157,True,False,False,False
97|95,399,False,False,False,True
117|41,187,False,True,False,False
40|4,183,False,False,False,True
5|120,166,True,False,False,False
61|95,332,False,False,False,True
34|84,179,False,True,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
97|95,415,False,False,False,True
5|84,153,True,False,False,False
11|10,127,False,True,False,False
5|84,154,True,False,False,False
40|4,165,False,True,False,False
34|84,187,False,True,False,False
11|10,125,False,True,False,False
31|120,165,True,False,False,False
117|120,177,True,False,False,False
34|41,167,True,False,False,False
11|10,137,False,True,False,False
34|41,171,True,False,False,False
97|95,414,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
61|95,322,False,False,False,True
117|41,191,False,True,False,False
97|95,387,False,False,False,True
5|120,168,True,False,False,False
61|4,301,False,False,False,True
117|41,187,False,True,False,False
117|120,172,True,False,False,False
34|84,173,False,True,False,False
61|95,325,False,False,False,True
5|120,168,True,False,False,False
5|41,152,True,False,False,False
34|41,162,True,False,False,False
61|4,295,False,False,False,True
34|84,179,False,True,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
40|10,362,False,False,False,True
117|41,180,False,True,False,False
61|95,311,False,False,False,True
34|41,158,False,True,False,False
61|95,307,False,False,False,True
34|41,156,True,False,False,False
117|120,168,True,False,False,False
117|41,177,False,True,False,False
31|84,146,True,False,False,False
31|120,149,True,False,False,False
11|10,116,False,True,False,False
34|84,169,False,True,False,False
5|41,152,True,False,False,False
34|84,166,False,True,False,False
61|95,312,False,False,False,True
34|41,148,False,True,False,False
11|10,116,False,True,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
11|10,97,False,True,False,False
34|41,150,False,True,False,False
40|10,350,False,False,False,True
34|84,163,False,True,False,False
5|41,143,True,False,False,False
5|84,134,True,False,False,False
61|4,272,False,False,False,True
34|41,151,False,True,False,False
11|10,96,False,True,False,False
34|41,150,False,True,False,False
31|84,139,True,False,False,False
117|41,172,False,True,False,False
40|10,348,False,False,False,True
34|41,148,False,True,False,False
40|4,132,False,True,False,False
5|120,149,True,False,False,False
31|84,134,True,False,False,False
5|84,136,True,False,False,False
97|95,358,False,False,False,True
117|41,170,False,True,False,False
5|41,152,True,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
31|84,143,True,False,False,False
31|120,143,True,False,False,False
97|95,363,False,False,False,True
34|41,152,False,True,False,False
40|10,356,False,False,False,True
5|120,151,True,False,False,False
31|84,139,True,False,False,False
5|120,154,True,False,False,False
61|95,300,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
5|41,149,True,False,False,False
34|41,149,False,True,False,False
5|41,143,True,False,False,False
31|120,141,True,False,False,False
40|4,137,False,True,False,False
117|41,166,False,True,False,False
40|10,353,False,False,False,True
117|41,169,False,True,False,False
117|120,161,False,True,False,False
117|41,170,False,True,False,False
31|84,136,True,False,False,False
5|120,149,True,False,False,False
117|120,164,False,True,False,False
34|84,160,False,True,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
11|10,78,False,True,False,False
117|41,163,False,True,False,False
97|95,353,False,False,False,True
5|84,133,True,False,False,False
31|84,134,True,False,False,False
117|41,167,False,True,False,False
40|10,333,False,False,False,True
5|120,140,True,False,False,False
31|84,131,True,False,False,False
117|41,164,False,True,False,False
61|95,291,False,False,False,True
5|120,140,True,False,False,False
97|95,356,False,False,False,True
117|41,164,False,True,False,False
97|95,354,False,False,False,True
31|120,131,True,False,False,False
31|84,129,True,False,False,False
5|84,126,True,False,False,False
31|84,139,True,False,False,False
5|84,127,True,False,False,False
5|41,141,True,False,False,False
5|120,141,True,False,False,False
97|95,355,False,False,False,True
117|41,165,False,True,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
5|41,139,True,False,False,False
34|41,144,False,True,False,False
97|95,356,False,False,False,True
34|41,147,False,True,False,False
61|95,298,False,False,False,True
5|84,130,True,False,False,False
5|41,127,True,False,False,False
34|41,147,False,True,False,False
97|95,354,False,False,False,True
31|120,142,True,False,False,False
40|10,348,False,False,False,True
5|120,142,True,False,False,False
117|120,166,False,True,False,False
31|120,137,True,False,False,False
97|95,358,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
5|41,152,True,False,False,False
34|84,167,False,True,False,False
5|41,143,True,False,False,False
5|120,148,True,False,False,False
61|95,300,False,False,False,True
5|84,134,True,False,False,False
117|120,165,False,True,False,False
34|41,148,False,True,False,False
61|4,276,False,False,False,True
117|41,164,False,True,False,False
61|95,298,False,False,False,True
117|41,170,False,True,False,False
61|4,275,False,False,False,True
117|41,165,False,True,False,False
97|95,361,False,False,False,True
31|120,141,True,False,False,False
40|4,110,False,True,False,False
5|84,132,True,False,False,False
40|4,113,False,True,False,False
5|84,135,True,False,False,False
61|4,272,False,False,False,True
31|120,144,True,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
5|41,147,True,False,False,False
117|41,172,False,True,False,False
31|84,135,True,False,False,False
117|41,169,False,True,False,False
11|10,79,False,True,False,False
34|84,165,False,True,False,False
61|95,303,False,False,False,True
117|41,171,False,True,False,False
97|95,353,False,False,False,True
34|41,144,False,True,False,False
40|4,94,False,True,False,False
5|120,142,True,False,False,False
61|4,275,False,False,False,True
34|84,162,False,True,False,False
117|120,168,False,True,False,False
34|41,144,False,True,False,False
31|84,135,True,False,False,False
31|120,143,True,False,False,False
40|10,345,False,False,False,True
5|120,142,True,False,False,False
117|120,167,False,True,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
31|84,128,True,False,False,False
117|120,162,False,True,False,False
40|10,345,False,False,False,True
40|4,87,False,True,False,False
97|95,350,False,False,False,True
117|120,165,False,True,False,False
97|95,353,False,False,False,True
5|41,136,True,False,False,False
97|95,353,False,False,False,True
117|120,164,False,True,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
61|4,262,False,False,False,True
61|4,259,False,False,False,True
61|95,286,False,False,False,True
40|10,342,False,False,False,True
61|4,268,False,False,False,True
117|120,174,False,True,False,False
31|84,134,True,False,False,False
117|120,165,False,True,False,False
97|95,352,False,False,False,True
117|120,163,False,True,False,False
5|41,144,True,False,False,False
5|41,137,True,False,False,False
40|4,85,False,True,False,False
117|120,164,False,True,False,False
40|4,85,False,True,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
117|120,165,False,True,False,False
61|95,298,False,False,False,True
61|4,268,False,False,False,True
31|84,132,True,False,False,False
31|84,132,True,False,False,False
11|10,81,False,True,False,False
40|4,98,False,True,False,False
117|120,162,False,True,False,False
40|10,350,False,False,False,True
11|10,82,False,True,False,False
31|84,127,True,False,False,False
40|4,106,False,True,False,False
97|95,354,False,False,False,True
5|41,141,True,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
31|84,136,True,False,False,False
5|41,144,True,False,False,False
11|10,92,False,True,False,False
97|95,352,False,False,False,True
5|41,145,True,False,False,False
97|95,353,False,False,False,True
31|84,133,True,False,False,False
5|41,147,True,False,False,False
40|4,117,False,True,False,False
40|10,343,False,False,False,True
11|10,92,False,True,False,False
5|41,135,True,False,False,False
31|84,137,True,False,False,False
40|4,126,False,True,False,False
5|41,144,True,False,False,False
31|84,136,True,False,False,False
11|10,90,False,True,False,False
97|95,353,False,False,False,True
5|41,144,True,False,False,False
61|95,292,False,False,False,True
11|10,90,False,True,False,False
40|4,120,False,True,False,False
97|95,353,False,False,False,True
61|4,267,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
31|84,139,True,False,False,False
40|10,348,False,False,False,True
11|10,98,False,True,False,False
31|84,133,True,False,False,False
61|4,269,False,False,False,True
117|120,168,False,True,False,False
40|10,348,False,False,False,True
97|95,356,False,False,False,True
61|95,298,False,False,False,True
117|120,167,False,True,False,False
40|10,348,False,False,False,True
11|10,97,False,True,False,False
117|120,164,False,True,False,False
11|10,98,False,True,False,False
5|41,129,True,False,False,False
61|4,269,False,False,False,True
31|84,139,True,False,False,False
97|95,357,False,False,False,True
117|120,163,False,True,False,False
40|10,349,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
117|120,164,False,True,False,False
5|41,132,True,False,False,False
31|84,137,True,False,False,False
40|10,351,False,False,False,True
31|84,142,True,False,False,False
11|10,104,False,True,False,False
5|41,151,True,False,False,False
31|84,137,True,False,False,False
11|10,103,False,True,False,False
117|120,165,False,True,False,False
11|10,105,False,True,False,False
61|95,301,False,False,False,True
11|10,102,False,True,False,False
31|84,142,True,False,False,False
97|95,361,False,False,False,True
11|10,102,False,True,False,False
97|95,361,False,False,False,True
61|4,273,False,False,False,True
117|120,166,False,True,False,False
61|4,272,False,False,False,True
61|95,300,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
61|4,247,False,False,False,True
117|120,164,False,True,False,False
5|41,159,True,True,False,False
40|4,124,False,True,False,False
61|4,244,False,False,False,True
61|95,271,False,False,False,True
97|95,315,False,False,False,True
31|84,133,True,False,False,False
61|4,189,False,True,False,False
40|4,140,False,True,False,False
31|84,141,True,False,False,False
40|4,138,False,True,False,False
31|84,141,True,False,False,False
40|10,325,False,False,False,True
40|10,311,False,False,False,True
97|95,327,False,False,False,True
117|120,171,False,True,False,False
61|4,198,False,True,False,False
40|4,135,False,True,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
61|95,294,False,False,False,True
11|10,112,False,True,False,False
5|41,139,True,False,False,False
117|120,168,False,True,False,False
40|4,135,False,True,False,False
97|95,350,False,False,False,True
5|41,148,True,False,False,False
40|10,345,False,False,False,True
97|95,352,False,False,False,True
40|4,130,False,True,False,False
117|120,165,False,True,False,False
40|4,136,False,True,False,False
40|10,344,False,False,False,True
31|84,139,True,False,False,False
40|4,135,False,True,False,False
5|41,133,True,False,False,False
61|4,268,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
11|10,129,False,True,False,False
40|10,449,False,False,False,True
11|10,129,False,True,False,False
61|4,350,False,False,False,True
117|120,187,True,False,False,False
40|10,448,False,False,False,True
61|95,382,False,False,False,True
61|95,382,False,False,False,True
31|84,175,True,False,False,False
31|84,173,True,False,False,False
40|10,447,False,False,False,True
40|10,448,False,False,False,True
61|4,351,False,False,False,True
61|95,382,False,False,False,True
97|95,461,False,False,False,True
97|95,458,False,False,False,True
61|95,382,False,False,False,True
61|95,382,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
117|120,164,False,True,False,False
40|4,97,False,True,False,False
61|95,290,False,False,False,True
40|10,344,False,False,False,True
11|10,79,False,True,False,False
40|4,94,False,True,False,False
11|10,79,False,True,False,False
61|95,291,False,False,False,True
61|4,267,False,False,False,True
5|41,133,True,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
5|41,143,True,False,False,False
11|10,114,False,True,False,False
97|95,371,False,False,False,True
61|4,281,False,False,False,True
31|84,145,True,False,False,False
40|10,359,False,False,False,True
61|4,280,False,False,False,True
40|4,171,False,False,False,True
40|10,363,False,False,False,True
97|95,367,False,False,False,True
61|95,311,False,False,False,True
31|84,147,True,False,False,False
5|41,141,True,False,False,False
40|10,363,False,False,False,True
40|4,143,False,True,False,False
61|95,298,False,False,False,True
5|41,153,True,False,False,False
5|41,152,True,False,False,False
117|120,173,False,True,False,False
40|10,365,False,False,False,True
31|84,144,True,False,False,False
97|95,369,False,False,False,True
97|95,367,False,False,False,True
40|10,363,False,False,False,True
97|95,371,False,False,False,True
61|4,283,False,False,False,True
